time	frequency	count
00	0.06201550387596899	8
01	0.031007751937984496	4
02	0.015503875968992248	2
03	0.0	0
04	0.015503875968992248	2
05	0.007751937984496124	1
06	0.015503875968992248	2
07	0.007751937984496124	1
08	0.05426356589147287	7
09	0.031007751937984496	4
10	0.046511627906976744	6
11	0.007751937984496124	1
12	0.031007751937984496	4
13	0.05426356589147287	7
14	0.023255813953488372	3
15	0.10852713178294573	14
16	0.046511627906976744	6
17	0.023255813953488372	3
18	0.05426356589147287	7
19	0.06201550387596899	8
20	0.06201550387596899	8
21	0.07751937984496124	10
22	0.12403100775193798	16
23	0.03875968992248062	5
